Gene stable ID,Gene name,Gene Synonym,NCBI gene (formerly Entrezgene) ID
YCL002C,,,850353
YIL117C,PRM5,,854689
YBL037W,APL3,,852243
YNL140C,,,855582
YDR232W,HEM1,CYD1,851818
YDR232W,HEM1,OLE3,851818
YJL062W-A,COA3,COX25,853383
YJL062W-A,COA3,RRG10,853383
YBR019C,GAL10,,852307
YBR022W,POA1,,852310
YDR158W,HOM2,,851736
YOR230W,WTM1,,854405
YNL099C,OCA1,,855624
YKL173W,SNU114,GIN10,853681
YER159C,BUR6,NCB1,856904
YML057W,CMP2,CNA2,854946
snR46,SNR46,,
YML055W,SPC2,SPY1,854949
YDR439W,LRS4,,852049
YBR121C-A,,,
YJL110C,GZF3,DEH1,853334
YJL110C,GZF3,NIL2,853334
YNL182C,IPI3,,855539
YJR088C,EMC2,,853550
YMR105C,PGM2,GAL5,855131
YOR144C,ELG1,RTT110,854315
YPR101W,SNT309,NTC25,856216
YPL179W,PPQ1,SAL6,855923
YCL024W,KCC4,,850334
YNL180C,RHO5,,855541
YLR321C,SFH1,,851032
YPL224C,MMT2,MFT2,855877
YOL081W,IRA2,CCS1,854073
YOL081W,IRA2,GLC4,854073
YNR001C,CIT1,LYS6,855732
YOL052C,SPE2,,854105
YOR285W,RDL1,,854459
YIL050W,PCL7,,854761
YMR268C,PRP24,,855310
tG(GCC)P2,,,
YDL206W,,,851321
YLR327C,TMA10,SFL2,851037
YBR119W,MUD1,,852416
YDR125C,ECM18,,851703
YFR052W,RPN12,NIN1,850613
tD(GUC)G1,,,
snR17b,SNR17B,,
YLR154C-H,,,1466414
YLR154C-H,,,1466415
YLR154C-H,,,1466411
YLR154C-H,,,1466410
YGL211W,NCS6,TUC1,852661
YGL211W,NCS6,YGL210W-A,852661
YIL107C,PFK26,,854699
YJL213W,,,853217
YML133W-B,,,
YPR204W,,,856334
YBL022C,PIM1,,852259
YIL150C,MCM10,DNA43,854656
YPR103W,PRE2,DOA3,856218
YPR103W,PRE2,PRG1,856218
YPR103W,PRE2,SRR2,856218
YGR141W,VPS62,,853042
YIL165C,,,854641
snR161,SNR161,,
YDR338C,,,851938
tS(AGA)H,,,
YKL061W,BLI1,,853804
YOR058C,ASE1,YOR29-09,854223
YPR155C,NCA2,,856278
YDR526C,,,
YJR046W,TAH11,CDT1,853504
YJR046W,TAH11,SID2,853504
YER084W,,,856816
YOR270C,VPH1,,854444
YHR125W,,,
YGL239C,,,
YDR533C,HSP31,,852146
YOL154W,ZPS1,,854011
YOR115C,TRS33,,854282
YDR272W,GLO2,,851865
YLR247C,IRC20,,850949
YER183C,FAU1,,856932
YKL139W,CTK1,,853718
YOL003C,PFA4,,854159
YNL091W,NST1,,855633
YGL097W,SRM1,MTR1,852782
YGL097W,SRM1,PRP20,852782
YGR030C,POP6,,852918
YNL157W,IGO1,,855565
YDR197W,CBS2,CBP7,851778
YEL009C-A,,,
YNL315C,ATP11,,855401
YDR512C,EMI1,,852125
YOR258W,HNT3,,854432
YPL250W-A,,,
YDR489W,SLD5,CDC105,852100
YEL059C-A,SOM1,,856650
tN(GUU)O2,,,
YOL103W,ITR2,HRB612,854050
YLR167W,RPS31,RPS37,850864
YLR167W,RPS31,UBI3,850864
YLR220W,CCC1,,850917
YLR455W,PDP3,,851177
YJL020C,BBC1,MTI1,853433
YJL020C,BBC1,YJL021C,853433
YLR282C,,,
YKL180W,RPL17A,RPL17,853674
YOR215C,AIM41,,854390
YDR299W,BFR2,,851893
YKL004W,AUR1,,853866
YDL015C,TSC13,,851547
YDR304C,CPR5,CYP5,851898
YNL221C,POP1,,855500
YHR206W,SKN7,BRY1,856613
YHR206W,SKN7,POS9,856613
YML090W,,,
YDR271C,,,
YOL095C,HMI1,,854058
YPL244C,HUT1,,855832
YAL053W,FLC2,,851246
YDL181W,INH1,,851347
YGR224W,AZR1,,853139
YHR097C,,,856497
YLR094C,GIS3,,850783
YPR141C,KAR3,OSR11,856263
YGR142W,BTN2,,853043
YML101C,CUE4,,854871
YFL064C,,,850480
YOL063C,CRT10,,854091
YNR052C,POP2,CAF1,855788
YCR060W,TAH1,,850424
YGR186W,TFG1,RAP74,853098
YGR186W,TFG1,SSU71,853098
YNL061W,NOP2,YNA1,855664
YPL275W,FDH2,,
YOL079W,,,
YDR367W,KEI1,,851973
YER172C,BRR2,PRP44,856919
YER172C,BRR2,RSS1,856919
YER172C,BRR2,SLT22,856919
YER172C,BRR2,SNU246,856919
YHR005C-A,TIM10,MRS11,856395
YCR071C,IMG2,,850434
YOR389W,,,854571
Q0065,AI4,,854596
YGR181W,TIM13,,853093
YLR272C,YCS4,LOC7,850977
YKL143W,LTV1,YKL2,853714
YNL284C,MRPL10,MRPL18,855436
YLR264C-A,,,1466417
YDR085C,AFR1,,851658
YIL045W,PIG2,,854766
YMR012W,CLU1,TIF31,855025
YJL187C,SWE1,WEE1,853252
YCR007C,,,850364
YOR231W,MKK1,SSP32,854406
tY(GUA)M2,SUP8,,
YHR193C-A,,,
YJR131W,MNS1,,853595
YDL097C,RPN6,NAS4,851461
YHR007C,ERG11,CYP51,856398
YHR214C-D,,,1466534
YIL126W,STH1,NPS1,854680
YGL081W,,,852799
YMR202W,ERG2,END11,855242
YOR021C,SFM1,,854186
YGR082W,TOM20,MAS20,852973
YGR082W,TOM20,MOM19,852973
YOR139C,,,
YPR156C,TPO3,,856279
YMR083W,ADH3,,855107
YAL031W-A,,,
YPL240C,HSP82,HSP90,855836
YNR040W,,,855776
YPR188C,MLC2,,856318
YFL015C,,,
YHR212W-A,,,1466531
YGL028C,SCW11,,852856
YDL139C,SCM3,,851416
YJL133W,MRS3,,853308
YKL062W,MSN4,,853803
YFL011W,HXT10,,850536
YPL111W,CAR1,LPH15,855993
YHR184W,SSP1,SPO3,856590
YOR120W,GCY1,,854287
YPR119W,CLB2,,856236
YNL246W,VPS75,,855475
YFR017C,IGD1,,850572
YLR338W,OPI9,,
YCL012C,YCL012C,YCL011C-A,2746859
YJL086C,,,
YBR243C,ALG7,TUR1,852545
YGL021W,ALK1,,852863
YDR200C,VPS64,FAR9,851781
YBR234C,ARC40,,852536
YJR053W,BFA1,IBD1,853513
YDR191W,HST4,,851772
YDR451C,YHP1,,852062
YGL110C,CUE3,,852768
YJR044C,VPS55,,853502
snR76,SNR76,,
YGR167W,CLC1,SCD4,853077
YGL017W,ATE1,,852867
YLR181C,VTA1,,850878
YBR179C,FZO1,,852477
YBR247C,ENP1,MEG1,852549
YOL038W,PRE6,,854119
YOR023C,AHC1,,854188
YJR100C,AIM25,,853563
YOL124C,TRM11,,853996
YOR212W,STE4,HMD2,854387
tA(UGC)G,,,
YDR469W,SDC1,CPS25,852080
YDR469W,SDC1,SAF19,852080
YMR017W,SPO20,DBI9,855031
YDR470C,UGO1,,852081
YIL158W,AIM20,,854648
YBR124W,,,
YLR458W,,,
YML085C,TUB1,,854889
YOL013W-A,YOL013W-A,,854147
YPL192C,PRM3,,855909
YNL097W-A,,,
YBL086C,,,852192
YDR105C,TMS1,,851682
YGR156W,PTI1,,853060
YDR483W,KRE2,MNT1,852094
YKL172W,EBP2,,853682
YML013W,UBX2,SEL1,854995
