Gene stable ID,Gene name,Gene Synonym,NCBI gene (formerly Entrezgene) ID
YDR493W,MZM1,AIM8,852104
YDR493W,MZM1,FMP36,852104
YPR198W,SGE1,NOR1,856327
tK(UUU)Q,,,
YLR056W,ERG3,PSO6,850745
YLR056W,ERG3,SYR1,850745
YJL185C,ATG36,,853254
YOR190W,SPR1,SSG1,854362
YIR020C-B,,,
YGR031C-A,NAG1,,8656591
YLR429W,CRN1,,851148
YMR135W-A,,,
YNL169C,PSD1,,855552
YBR136W,MEC1,ESR1,852433
YBR136W,MEC1,SAD3,852433
tM(CAU)M,EMT4,,
YNL268W,LYP1,,855453
YPR053C,,,
YKR045C,,,853919
Q0010,Q0010,,
YJL135W,,,
YPR106W,ISR1,,856221
YDR101C,ARX1,,851678
YKL018C-A,,,853850
YDR182W-A,,,1466434
YEL034W,HYP2,TIF51A,856677
YHR031C,RRM3,RTT104,856426
YKL126W,YPK1,SLI2,853733
YLL060C,GTT2,,850666
YDR212W,TCP1,CCT1,851798
YNL162W,RPL42A,MAK18,855560
YNL162W,RPL42A,MAK18,856544
YER144C,UBP5,,856887
YGL037C,PNC1,,852846
YBR039W,ATP3,,852327
YDR476C,,,852087
YIL044C,AGE2,SAT2,854767
YKR072C,SIS2,HAL3,853946
YPL250C,ATG41,,855825
YBL089W,AVT5,,852189
YCR020C-A,MAK31,LSM9,850383
YCR020C-A,MAK31,NAA38,850383
YCR020C-A,MAK31,SMX1,850383
YDL131W,LYS21,,851425
YPL051W,ARL3,,856056
YER069W,"ARG5,6",,856800
YAL048C,GEM1,GON1,851249
YDR458C,HEH2,,852069
YJR138W,IML1,,853603
YJL108C,PRM10,,853336
YPR013C,CMR3,,856123
YKR075W-A,,,
YEL066W,HPA3,,
YOL039W,RPP2A,RPL44,854118
YOL039W,RPP2A,RPLA2,854118
YDR081C,PDC2,,851654
YPL121C,MEI5,LPH6,855982
YNL257C,SIP3,,855464
YBL067C,UBP13,,852212
YKL074C,MUD2,,853788
YLR310C,CDC25,CTN1,851019
YPR068C,HOS1,,856181
YNL229C,URE2,,855492
YOR349W,CIN1,,854531
YBR270C,BIT2,,852573
YGL252C,RTG2,,852640
YML056C,IMD4,,854948
YBR087W,RFC5,,852383
YKL087C,CYT2,,853775
YOL090W,MSH2,PMS5,854063
YOR271C,FSF1,,854445
YDL071C,YDL071C,,
YOR173W,DCS2,,854344
YFR021W,ATG18,AUT10,850577
YFR021W,ATG18,CVT18,850577
YFR021W,ATG18,NMR1,850577
YFR021W,ATG18,SVP1,850577
YGL250W,RMR1,,852642
YPR160W-A,,,
YPR202W,,,856332
YIR020W-A,YIR020W-A,,
YML064C,TEM1,,854938
YGR260W,TNA1,,853175
YPL270W,MDL2,,855858
YIR004W,DJP1,ICS1,854820
YIR004W,DJP1,PAS22,854820
YLR342W,FKS1,CND1,851055
YLR342W,FKS1,CWH53,851055
YLR342W,FKS1,ETG1,851055
YLR342W,FKS1,GSC1,851055
YLR342W,FKS1,PBR1,851055
YJR037W,,,
YGR159C,NSR1,SHE5,853064
YDR113C,PDS1,,851691
YBR121C,GRS1,,
YDR168W,CDC37,SMO1,851746
YAL025C,MAK16,,851208
YIL092W,,,854716
YGR006W,PRP18,,852889
YOR106W,VAM3,PTH1,854273
YAR064W,,,851294
YDR520C,URC2,RRT4,852133
YML132W,COS3,,854907
YML132W,COS3,,852605
YPL248C,GAL4,GAL81,855828
YBR026C,ETR1,MRF1,852314
YBR026C,ETR1,MRF1',852314
YOR108W,LEU9,,854275
YKL018W,SWD2,CPS35,853851
YKL018W,SWD2,SAF37,853851
YDR307W,PMT7,,851902
YER161C,SPT2,EXA1,856908
YER161C,SPT2,SIN1,856908
YGL121C,GPG1,,852756
YLR017W,MEU1,,850704
YJR079W,,,853542
YBR197C,,,852496
YGL040C,HEM2,OLE4,852842
YGL040C,HEM2,SLU1,852842
YML113W,DAT1,,854927
tD(GUC)I2,,,
YKL135C,APL2,,853723
YJR049C,UTR1,,853508
YAL031C,GIP4,FUN21,851202
YER131W,RPS26B,,856868
YGR130C,,,853031
YKL112W,ABF1,BAF1,853748
YKL112W,ABF1,OBF1,853748
YKL112W,ABF1,REB2,853748
YKL112W,ABF1,SBF1,853748
YBR027C,,,852315
YHL042W,,,856343
YNL042W-B,,,1466515
YOR059C,,YOR29-10,854225
YIL136W,OM45,,854670
YER027C,GAL83,SPM1,856749
YBR177C,EHT1,,852476
YCL075W,,,
YAR075W,,,
YHR022C-A,,,1466527
YML058W-A,HUG1,,854944
YDR265W,PEX10,PAS4,851858
YIR022W,SEC11,,854840
YHR180C-B,,,
YOL149W,DCP1,,854016
Q0255,Q0255,ORF1,854623
tL(UAG)L2,,,
YIL002W-A,,,1466493
YPR058W,YMC1,,856171
tH(GUG)E2,,,
YDL076C,RXT3,,851483
YDL006W,PTC1,CWH47,851558
YDL006W,PTC1,KCS2,851558
YDL006W,PTC1,TPD1,851558
YBR176W,ECM31,,852474
YPL004C,LSP1,,856103
YNL248C,RPA49,,855473
tK(CUU)F,,,
YGR021W,,,852904
YKR085C,MRPL20,,853960
YLR304C,ACO1,GLU1,851013
YJR008W,MHO1,,853464
YKR102W,FLO10,,853977
YOR121C,,,
YPR110C,RPC40,RPC5,856226
YKL217W,JEN1,,853663
YOL106W,,,
YNR045W,PET494,,855781
YJR023C,,,
YMR136W,GAT2,,855167
snR9,SNR9,,
YIL066W-A,,,
YML091C,RPM2,,854883
YAL063C-A,,,1466427
YBR230W-A,,,2777172
YNR051C,BRE5,,855787
YER088C-A,,,
YGR097W,ASK10,RGC2,852989
YLL052C,AQY2,,850674
YMR199W,CLN1,,855239
YOR295W,UAF30,,854470
tP(UGG)A,TRN1,,
YIL133C,RPL16A,RPL13,854673
YDL086W,,,851472
YGL170C,SPO74,,852705
YHR106W,TRR2,,856506
YCR092C,MSH3,,850454
YOR203W,,,
YHR186C,KOG1,LAS24,856593
YDR238C,SEC26,,851824
YMR286W,MRPL33,,855330
YFL034W,MIL1,,850510
YGL166W,CUP2,ACE1,852710
YKR044W,UIP5,,853918
YGL104C,VPS73,,852774
YHL029C,OCA5,,856356
YDR077W,SED1,,851649
YDR381C-A,,,851989
YHR048W,YHK8,,856444
YJR002W,MPP10,,853458
YGR149W,GPC1,,853052
YJR145C,RPS4A,,856610
YJR145C,RPS4A,,853610
YBR090C,,,852387
YIL123W,SIM1,,854683
YHR039C-A,VMA10,YHR039C-B,856435
YKR080W,MTD1,,853955
YNL190W,,,855531
YOR132W,VPS17,PEP21,854300
YOR132W,VPS17,VPT3,854300
YOR216C,RUD3,GRP1,854391
YBL071C-B,,,1466440
YHR073W-A,,,
YPL042C,SSN3,CDK8,856065
YPL042C,SSN3,GIG2,856065
YPL042C,SSN3,NUT7,856065
YPL042C,SSN3,RYE5,856065
YPL042C,SSN3,SRB10,856065
YPL042C,SSN3,UME5,856065
YNL194C,,,855527
YKL065W-A,,,3799975
YPR149W,NCE102,NCE2,856272
YBR064W,,,
YIR001C,SGN1,RBP1,854817
YIR001C,SGN1,RBP29,854817
YDL023C,YDL023C,,
YJR048W,CYC1,,853507
YDL083C,RPS16B,,855174
YDL083C,RPS16B,,851476
YHR035W,NEL1,,856430
YOR099W,KTR1,,854266
YPL172C,COX10,,855931
YPR009W,SUT2,,856118
YDR036C,EHD3,,851606
YOR001W,RRP6,,854162
YKL156C-A,,,
YLR027C,AAT2,ASP5,850714
YDR057W,YOS9,,851627
YCR005C,CIT2,,850361
YBR044C,TCM62,,852332
tA(UGC)A,TGA1,,
YLR214W,FRE1,,850911
YMR025W,CSI1,,855040
YCR038W-A,,,
YMR112C,MED11,,
YGR195W,SKI6,ECM20,853109
YGR195W,SKI6,RRP41,853109
YER002W,NOP16,,856719
YAL023C,PMT2,FUN25,851210
YPL039W,,,856068
tG(GCC)G2,,,
YDR513W,GRX2,TTR1,852124
ITS2-2,ITS2-2,,
YIL153W,RRD1,YPA1,854653
YPR051W,MAK3,NAA30,856163
YCL034W,LSB5,,850323
YKR068C,BET3,,853942
YAL062W,GDH3,FUN51,851237
YDR487C,RIB3,,852098
YML127W,RSC9,,854912
YNL080C,EOS1,,855644
YCL026C-B,HBN1,YCL027C-A,850331
YDR066C,RTR2,,851638
YPR134W,MSS18,,856253
YIR002C,MPH1,,854818
YKR027W,BCH2,FMP50,853898
YBL068W,PRS4,,852211
YNR005C,,,
YLL062C,MHT1,,850664
YML005W,TRM12,TYW2,855008
YGR250C,RIE1,,853165
YLR378C,SEC61,,851095
YJR009C,TDH2,GLD2,853465
YJL222W-A,,,
YGL155W,CDC43,CAL1,852722
YGL216W,KIP3,,852655
YOR009W,TIR4,,854173
tN(GUU)Q,,,
YCR020W-B,HTL1,,850384
YJL173C,RFA3,RPA3,853266
YKL081W,TEF4,EFC1,853781
YFL012W-A,YFL012W-A,,
YPR118W,MRI1,,856234
YNR064C,,,855801
YLR023C,IZH3,,850710
YBR216C,YBP1,,852517
YKR022C,NTR2,,853892
YLR425W,TUS1,SOP10,851145
YMR160W,,,855195
YDR352W,YPQ2,,851954
YJR014W,TMA22,,853471
YOR204W,DED1,SPP81,854379
YFL024C,EPL1,,850520
YOR209C,NPT1,,854384
YDR278C,,,
YIL108W,,,854698
YHR165C,PRP8,DBF3,856570
YHR165C,PRP8,DNA39,856570
YHR165C,PRP8,RNA8,856570
YHR165C,PRP8,SLT21,856570
YHR165C,PRP8,USA2,856570
YNL145W,MFA2,,855577
YMR046W-A,,,
YNR068C,,,855805
YKL083W,,,
YHL006C,SHU1,,856383
YGR029W,ERV1,,852916
YHL025W,SNF6,,856360
YGL125W,MET13,MET11,852752
YGL125W,MET13,MRPL45,852752
YJR135W-A,TIM8,,853600
YIR023C-A,,,
YGR038W,ORM1,,852926
YGR008C,STF2,,852891
YPR019W,MCM4,CDC54,856130
YPR019W,MCM4,HCD21,856130
YEL062W,NPR2,,856647
YNL323W,LEM3,BRE3,855393
YNL323W,LEM3,ROS3,855393
YNL003C,PET8,SAM5,855729
YCR094W,CDC50,,850456
YJR045C,SSC1,ENS1,853503
YPL213W,LEA1,,855888
YBR271W,EFM2,,852574
YDR079C-A,TFB5,,851652
YNL199C,GCR2,,855522
YHR172W,SPC97,,856577
YEL074W,,,
YNL048W,ALG11,,855679
YDR204W,COQ4,,851785
YHR002W,LEU5,,856391
YJL176C,SWI3,TYE2,853264
YJL193W,,,853246
YOR284W,HUA2,,854458
YHR016C,YSC84,LSB4,856409
YAR061W,,,
YFL013C,IES1,,850534
YJR128W,,,
YPR121W,THI22,,856239
YER142C,MAG1,MMS5,856885
RUF23,RUF23,,
YGR248W,SOL4,,853163
YPL054W,LEE1,,856053
YDL247W-A,,,
YIL067C,,,854743
YDL024C,DIA3,,851537
YGL094C,PAN2,,852786
YGR131W,FHN1,,853032
YKL198C,PTK1,KKT8,853635
YKL198C,PTK1,POT1,853635
YKL198C,PTK1,STK1,853635
YKL198C,PTK1,YKL199C,853635
YKL198C,PTK1,YKT9,853635
RUF5-2,RUF5-2,,
YCL028W,RNQ1,,850329
YOR036W,PEP12,VPL6,854201
YOR036W,PEP12,VPS6,854201
YOR036W,PEP12,VPT13,854201
YLR073C,RFU1,,850762
YER035W,EDC2,,856757
YBR084W,MIS1,,852378
YHR079C,IRE1,ERN1,856478
YHR169W,DBP8,,856574
YNL072W,RNH201,RNH35,855652
YAL026C,DRS2,FUN38,851207
YAL026C,DRS2,SWA3,851207
YAL014C,SYN8,SLT2,851219
YAL014C,SYN8,UIP2,851219
YGR163W,GTR2,,853072
YHR054C,,,856451
tA(AGC)D,,,
YPL123C,RNY1,,855980
YDR109C,,,851687
YJL159W,HSP150,CCW7,853281
YJL159W,HSP150,ORE1,853281
YJL159W,HSP150,PIR2,853281
YIR019C,,FLO11,854836
YIR019C,,STA4,854836
YOR154W,SLP1,,854325
YFL046W,FMP32,,850498
YDR466W,PKH3,,852077
YLL008W,DRS1,,850652
YMR096W,SNZ1,,855121
YLL063C,AYT1,,850663
YLR449W,FPR4,,851170
YBR065C,ECM2,SLT11,852357
YNL224C,SQS1,PFA1,855497
YGR125W,,,853026
YOR048C,RAT1,HKE1,854213
YOR048C,RAT1,TAP1,854213
YOR048C,RAT1,XRN2,854213
YPL144W,POC4,DMP1,855959
YPL144W,POC4,PBA4,855959
YBR245C,ISW1,SGN2,852547
YKR007W,MEH1,EGO1,853876
YKR007W,MEH1,GSE2,853876
YML133C,,,854906
YOL073C,DSC2,,854081
YPR036W-A,SPO24,,856149
YLL046C,RNP1,,850680
YMR246W,FAA4,,855288
YOL152W,FRE7,,854013
YDR427W,RPN9,,852037
YMR052C-A,,,
YER145C,FTR1,,856888
YDL044C,MTF2,NAM1,851517
YJL030W,MAD2,,853422
YLR089C,ALT1,,850778
YJL047C,RTT101,CUL8,853400
YNL067W-A,YNL067W-A,,
YOL101C,IZH4,,854052
YOR085W,OST3,,854252
YDL079C,MRK1,,851480
YBR085W,AAC3,ANC3,852380
YER176W,ECM32,HEL1,856923
YER176W,ECM32,MTT1,856923
RDN18-1,RDN18-1,,
YJL194W,CDC6,,853244
YPL140C,MKK2,LPI6,855963
YPL140C,MKK2,SSP33,855963
YOR227W,HER1,,854402
snR70,SNR70,,
YER071C,TDA2,,856802
YGR279C,SCW4,,853196
YPL202C,AFT2,,855899
YGL022W,STT3,,852862
YCL029C,BIK1,ARM5,850328
YCL029C,BIK1,PAC14,850328
YMR120C,ADE17,,855149
YPL114W,,,
YMR052W,FAR3,,855073
YOR159C,SME1,,854330
tI(AAU)P2,,,
YLR020C,YEH2,,850707
YML100W-A,,,1466496
YCL074W,,,
tD(GUC)G2,,,
YBR059C,AKL1,,852351
YML049C,RSE1,,854956
YKR078W,,,853953
YDR193W,,,
YOR146W,,,
YOR372C,NDD1,,854554
YJL195C,,,
YGR271W,SLH1,,853187
YNR032W,PPG1,,855766
YGL025C,PGD1,HRS1,852860
YGL025C,PGD1,MED3,852860
YIL028W,,,
YLR190W,MMR1,,850887
YIL134W,FLX1,,854672
Q0020,15S_RRNA,,
YDR305C,HNT2,,
YLR045C,STU2,,850734
YLR285W,NNT1,,850991
YDR377W,ATP17,,851983
YJR108W,ABM1,,853572
YKR001C,VPS1,GRD1,853870
YKR001C,VPS1,LAM1,853870
YKR001C,VPS1,SPO15,853870
YKR001C,VPS1,VPL1,853870
YKR001C,VPS1,VPT26,853870
tQ(UUG)C,,,
YAL034C-B,YAL034C-B,,
YAR035W,YAT1,,851285
YHR065C,RRP3,,856462
YBR068C,BAP2,,852360
YMR065W,KAR5,FIG3,855087
YBR285W,,,852588
YOR112W,CEX1,,854279
YMR098C,ATP25,,855123
YCR086W,CSM1,,850447
YMR302C,YME2,PRP12,855348
YMR302C,YME2,RNA12,855348
YHR088W,RPF1,,856488
tH(GUG)H,,,
YLR322W,VPS65,,
YGL176C,,,852699
YDR219C,MFB1,,851805
YFR014C,CMK1,,850568
YGR031W,IMO32,,852919
YFL056C,AAD6,,
YER150W,SPI1,,856893
YBR041W,FAT1,,852329
YLR276C,DBP9,,850982
YDR416W,SYF1,NTC90,852025
YBR252W,DUT1,,852554
YMR075C-A,,,
YOR387C,,,854569
YLR346C,CIS1,,851060
YER177W,BMH1,APR6,856924
YKR025W,RPC37,,853895
YBL082C,ALG3,RHK1,852196
YGL102C,,,
YBL002W,HTB2,,852284
YGR182C,,,
YOR229W,WTM2,,854404
YML060W,OGG1,,854942
YDR365C,ESF1,,851969
YLR156W,,,850856
YLR156W,,,850851
YLR156W,,,850858
YNL206C,RTT106,,855515
YGR025W,,,
YPL045W,VPS16,SVL6,856062
YPL045W,VPS16,VAM9,856062
YPL045W,VPS16,VPT16,856062
YGL113W,SLD3,,852765
YMR080C,NAM7,IFS2,855104
YMR080C,NAM7,MOF4,855104
YMR080C,NAM7,SUP113,855104
YMR080C,NAM7,UPF1,855104
YBL098W,BNA4,,852179
YMR156C,TPP1,,855188
YDL233W,MFG1,,851365
YPL267W,ACM1,,855861
YGR188C,BUB1,,853100
YLR135W,SLX4,,850826
YNR062C,,,855799
YIL159W,BNR1,,854647
YGL162W,SUT1,,852714
YPL133C,RDS2,,855970
YNL203C,,,
YKL124W,SSH4,MLF4,853735
YLR261C,VPS63,,850965
tA(AGC)P,,,
YCR006C,,,
YMR294W,JNM1,INS1,855339
YMR294W,JNM1,PAC3,855339
YOR068C,VAM10,,854234
YNL273W,TOF1,,855448
YIL011W,TIR3,YIB1,854804
YOR376W-A,,,1466488
YCR083W,TRX3,,850444
YGL084C,GUP1,,852796
YCL039W,GID7,MOH2,850318
YFL041W-A,,,1466401
YDR287W,INM2,,851881
YOL050C,,,
YLL066C,,,
YFR055W,IRC7,,850616
YFR013W,IOC3,,850567
YOR342C,,,854520
YER123W,YCK3,CKI3,856860
snR10,SNR10,,
YBR117C,TKL2,,852414
YLR077W,FMP25,BCA1,850766
YOL035C,,,
YHR093W,AHT1,,
YEL018W,EAF5,,856696
YKR095W,MLP1,MPL1,853970
YOR251C,TUM1,,854425
YBR214W,SDS24,,852515
YOR041C,YOR041C,,
YDR448W,ADA2,SWI8,852059
YPL263C,KEL3,,855865
YDR180W,SCC2,,851761
YER116C,SLX8,,856852
YPL097W,MSY1,,856007
YPR130C,,,
YOR130C,ORT1,ARG11,854297
tF(GAA)D,,,
tT(AGU)D,,,
YGL196W,DSD1,,852679
tI(AAU)N1,,,
YCL037C,SRO9,,850320
YDR294C,DPL1,BST1,851888
RME3,RME3,,
YMR167W,MLH1,PMS2,855203
YNL213C,RRG9,,855508
YBR169C,SSE2,,852467
YNL055C,POR1,OMP2,855669
YDR198C,RKM2,,851779
YKL129C,MYO3,,853729
YER043C,SAH1,,856766
YGR230W,BNS1,,853145
YNL170W,,,
YGR084C,MRP13,,852975
YKL100C,YPF1,,853761
YIL110W,HPM1,MNI1,854696
YOR119C,RIO1,RRP10,854286
YAL010C,MDM10,FUN37,851223
YGL222C,EDC1,,852650
YJL199C,MBB1,,
YHL036W,MUP3,,856349
YKL041W,VPS24,DID3,853825
YKL041W,VPS24,VPL26,853825
YDL163W,,,
YLR144C,ACF2,ENG2,850836
YLR144C,ACF2,PCA1,850836
YIL131C,FKH1,,854675
YHR100C,GEP4,,856500
YNR013C,PHO91,,855747
YLR414C,PUN1,,851132
YOL166C,,,
YJL216C,IMA5,,853214
YHR105W,YPT35,,856505
YLR030W,,,850717
YMR242W-A,,,1466505
YOR008C,SLG1,HCS77,854170
YOR008C,SLG1,WSC1,854170
YDL119C,HEM25,,851439
YHR056C,RSC30,,856453
YAL042W,ERV46,FUN9,851256
YFR049W,YMR31,,850610
YMR079W,SEC14,PIT1,855103
YOL011W,PLB3,,854151
YNL269W,BSC4,,855452
YKL221W,MCH2,,853659
YBR207W,FTH1,,852506
YKL031W,,,
YBR155W,CNS1,,852452
YGR166W,TRS65,KRE11,853076
YDR501W,PLM2,,852112
YKR074W,AIM29,,853949
YFL050C,ALR2,,850494
YDL214C,PRR2,,851312
YGR122C-A,,,
YEL004W,YEA4,,856714
YER141W,COX15,,856884
YPR177C,,,
tE(UUC)C,,,
YOR248W,YOR248W,,
YHR135C,YCK1,CKI2,856537
YKL138C,MRPL31,,853720
YJL011C,RPC17,,853442
YAL038W,CDC19,PYK1,851193
YGR152C,RSR1,BUD1,853056
YOR202W,HIS3,HIS10,854377
YOR202W,HIS3,HIS8,854377
YKL063C,,,853802
YNR020C,ATP23,,
YOR266W,PNT1,,854440
YPR124W,CTR1,,856241
YDR264C,AKR1,,851857
YIL128W,MET18,MMS19,854678
YOR140W,SFL1,,854307
YDR343C,HXT6,,851944
YNL041C,COG6,COD2,855687
YNL041C,COG6,SEC37,855687
YPR157W,TDA6,,856280
YJR060W,CBF1,CEP1,853523
YJR060W,CBF1,CPF1,853523
YAR003W,SWD1,CPS50,851265
YAR003W,SWD1,FUN16,851265
YAR003W,SWD1,SAF49,851265
YGL210W,YPT32,,852662
YJR119C,JHD2,KDM5,853583
YDR373W,FRQ1,,851979
YPR004C,AIM45,,856112
YPR080W,TEF1,,852415
YPR080W,TEF1,,856195
YOR004W,UTP23,,854165
YPL162C,,,855941
YBL106C,SRO77,SNI2,852168
YBL106C,SRO77,SOP2,852168
YPL200W,CSM4,,855901
tK(UUU)K,,,
YPR057W,BRR1,,856170
YBR237W,PRP5,RNA5,852539
YIL064W,EFM4,,854746
YMR275C,BUL1,DAG1,855318
YMR275C,BUL1,RDS1,855318
YMR275C,BUL1,SMM2,855318
YDR354W,TRP4,,851956
YNL234W,,,855487
YOR308C,SNU66,,854485
YDR246W,TRS23,,851833
YMR100W,MUB1,,855126
YPR100W,MRPL51,,856214
YDR428C,BNA7,,852038
YJR092W,BUD4,,853554
YIL071C,PCI8,CSN11,854739
YIL071C,PCI8,YIH1,854739
YIL071C,PCI8,YIL071W,854739
YJL051W,IRC8,,853396
YHR180W,,,
YGR265W,,,
YOR032C,HMS1,,854197
YLR301W,HRI1,,851008
YCL004W,PGS1,PEL1,850352
YCL004W,PGS1,YCL003W,850352
YDR157W,,,
YDR316W,OMS1,,851911
YJR071W,,,
YGR157W,CHO2,PEM1,853061
YNL165W,,,855556
YPR033C,HTS1,TSM4572,856145
YDL142C,CRD1,CLS1,851413
YNL116W,DMA2,CHF2,855607
YKL024C,URA6,SOC8,853844
YLR252W,,,
YLR427W,MAG2,,851147
YGL240W,DOC1,APC10,852611
YPR174C,,,856304
YNL008C,ASI3,,855724
YGR085C,RPL11B,,852976
YJR115W,,,853579
YLR200W,YKE2,GIM1,850897
YLR200W,YKE2,PFD6,850897
YPR151C,SUE1,,856274
YDR253C,MET32,,851840
YDL112W,TRM3,,851446
YGR237C,,,853152
YNL309W,STB1,,855407
YNR015W,SMM1,DUS2,855749
YKL086W,SRX1,,853776
YNR075W,COS10,,855812
YLR150W,STM1,MPT4,850843
YDR545W,YRF1-1,YRF1,851189
YDR545W,YRF1-1,YRF1,851189
YDR545W,YRF1-1,YRF1,852158
YDR545W,YRF1-1,YRF1,852158
YDR545W,YRF1-1,YRF1,854577
YDR545W,YRF1-1,YRF1,854577
YHR086W,NAM8,MRE2,856486
YHR086W,NAM8,MUD15,856486
YPR180W,AOS1,RHC31,856310
YBR193C,MED8,,852492
YLL021W,SPA2,FUS6,850639
YLL021W,SPA2,PEA1,850639
YCL076W,,,
YCR011C,ADP1,,850369
YGL146C,RRT6,,852731
YDL187C,,,
YAL045C,,,
YGL153W,PEX14,,852724
YJL010C,NOP9,,853445
YDL138W,RGT2,,851417
tE(UUC)Q,,,
YFR044C,DUG1,,850605
YBR149W,ARA1,,852446
YER170W,ADK2,AKY3,856917
YER170W,ADK2,PAK3,856917
YJL084C,ALY2,ART3,853361
YCL054W-A,RDT1,,23547378
YDR528W,HLR1,,852141
YKL073W,LHS1,CER1,853789
YKL073W,LHS1,SSI1,853789
YCR020C,PET18,HIT2,850382
YNL025C,SSN8,GIG3,855706
YNL025C,SSN8,NUT9,855706
YNL025C,SSN8,RYE2,855706
YNL025C,SSN8,SRB11,855706
YNL025C,SSN8,UME3,855706
YHR146W,CRP1,,856551
YHR195W,NVJ1,VAB36,856602
YCL065W,,,
YKR006C,MRPL13,YK105,853875
YGR075C,PRP38,,852966
YMR030W-A,,,1466499
YOR311C,DGK1,HSD1,854488
YDR284C,DPP1,ZRG1,851878
YDR050C,TPI1,,851620
YMR161W,HLJ1,,855196
YNL058C,,,855667
YER047C,SAP1,,856771
tT(UGU)G2,,,
YDL010W,GRX6,,851551
YNL313C,EMW1,,855403
YDL065C,PEX19,PAS12,851494
YDR349C,YPS7,,851950
YKL034W,TUL1,,853832
YLR078C,BOS1,SEC32,850767
YFR032C-B,,,1466402
YBR013C,,,852300
YLR153C,ACS2,,850846
YKL118W,,,
YDL098C,SNU23,,851460
YMR183C,SSO2,,855221
YOL019W,YOL019W,,854141
YHR119W,SET1,YTX1,856519
YLR404W,,,851120
YLR014C,PPR1,,850701
YDL234C,GYP7,,851364
YNL122C,,,855601
YFR034W-A,,,
YPL210C,SRP72,,855891
YML021C,UNG1,,854987
YOL138C,RTC1,,853982
Q0140,VAR1,,854586
YER132C,PMD1,,856869
YCL057W,PRD1,,850301
YDR118W,APC4,,851696
YLL005C,SPO75,,850655
YEL068C,,,856641
tC(GCA)P1,,,
YKL104C,GFA1,,853757
YBL063W,KIP1,CIN9,852216
YDR118W-A,,,
YOL151W,GRE2,,854014
YBL029C-A,,,852251
tQ(UUG)L,,,
YDR159W,SAC3,LEP1,851737
tP(UGG)F,SUF9,,
YER080W,AIM9,FMP29,856813
YHR033W,,,856428
YER052C,HOM3,BOR1,856778
YER052C,HOM3,SIL4,856778
YCL069W,VBA3,,850290
YML074C,FPR3,NPI46,854901
YJR030C,RBH2,,853487
YDR111C,ALT2,,851690
YDR128W,MTC5,,851706
YJL119C,,,
YJL221C,IMA4,FSP2,854635
YJL221C,IMA4,FSP2,853235
YIL147C,SLN1,YPD2,854659
YIL149C,MLP2,,854657
YOR330C,MIP1,,854508
YPL155C,KIP2,,855948
YGL169W,SUA5,,852707
YBR147W,RTC2,RRT11,852444
YGR187C,HGH1,,853099
YLR262C,YPT6,,850966
YDL034W,,,
YER070W,RNR1,CRT7,856801
YER070W,RNR1,RIR1,856801
YER070W,RNR1,SDS12,856801
YJR140C,HIR3,HPC1,853605
YPL225W,,,855876
YPL081W,RPS9A,,856024
YGL167C,PMR1,BSD1,852709
YGL167C,PMR1,LDB1,852709
YGL167C,PMR1,SSC1,852709
YGR050C,,,852941
YJR161C,COS5,,853626
YOR379C,,,
YBR246W,RRT2,,852548
YLR296W,,,
YPL266W,DIM1,CDH1,855862
YMR157C,AIM36,FMP39,855189
YBR002C,RER2,,852287
YLR234W,TOP3,EDR1,850935
YMR110C,HFD1,,855137
YGR035W-A,,,1466457
YGR217W,CCH1,,853131
YKL191W,DPH2,,853643
YDR065W,RRG1,,851637
YHR024C,MAS2,MIF2,856419
YKR042W,UTH1,,853916
YHL043W,ECM34,,856342
YLR096W,KIN2,,850785
YOR142W,LSC1,,854310
YGR068C,ART5,,852960
Q0075,AI5_BETA,,854599
YGR296W,YRF1-3,YRF1,855846
YGR296W,YRF1-3,YRF1,855846
YGR296W,YRF1-3,YRF1,853213
YGR296W,YRF1-3,YRF1,853213
YHL039W,EFM1,,856346
YGR177C,ATF2,,853088
YLR271W,CMG1,,850976
YOR268C,,,854442
YBR023C,CHS3,CAL1,852311
YBR023C,CHS3,CSD2,852311
YBR023C,CHS3,DIT101,852311
YBR023C,CHS3,KTI2,852311
YPR002W,PDH1,,856108
snR81,SNR81,,
YDL004W,ATP16,,851560
YDR024W,FYV1,,
YJL136C,RPS21B,,853305
YLR033W,RSC58,,850720
YPL127C,HHO1,,855976
YBL088C,TEL1,,852190
YEL007W,MIT1,,856711
YBL064C,PRX1,,852215
tR(ACG)J,,,
YDL171C,GLT1,,851383
YKR013W,PRY2,YFW12,853882
YBL007C,SLA1,,852276
YDR083W,RRP8,,851656
YNL094W,APP1,,855630
tE(UUC)E2,,,
YOR017W,PET127,,854182
YDR457W,TOM1,,852068
YOR394W,PAU21,,855847
YOR394W,PAU21,,854576
YER068C-A,,,
YDR014W,RAD61,WPL1,851577
YMR097C,MTG1,,855122
YKR101W,SIR1,,853976
YMR111C,,,855138
YLR278C,,,850984
YPR108W,RPN7,,856223
YOL134C,,,
YDR206W,EBS1,,851787
YJL146W,IDS2,,853295
YDR478W,SNM1,,852089
YOR002W,ALG6,,854163
YKL039W,PTM1,,853827
tL(UAA)B2,,,
YHR059W,FYV4,,856456
YER115C,SPR6,,856851
YOR194C,TOA1,,854369
YKL214C,YRA2,,853666
YLL055W,YCT1,,850671
YNL001W,DOM34,,855731
YHL048C-A,,,1466524
YIL106W,MOB1,,854700
YGL068W,MNP1,,852811
YPR172W,,,856302
