Gene stable ID,Gene Synonym,Gene name,NCBI gene (formerly Entrezgene) ID
ENSG00000164822,DEF6,DEFA6,1671
ENSG00000164822,HD-6,DEFA6,1671
ENSG00000237592,IGKV1/OR10-1,IGKV1OR10-1,
ENSG00000101220,FLJ20550,C20orf27,54976
ENSG00000271650,,AL031601.1,
ENSG00000254625,,AF233439.2,
ENSG00000223351,,ZNF385D-AS2,
ENSG00000237297,,AL713922.1,
ENSG00000240859,,AC093627.4,
ENSG00000164821,DEF4,DEFA4,1669
ENSG00000164821,HP-4,DEFA4,1669
ENSG00000261795,,AC093627.7,
ENSG00000110169,,HPX,3263
ENSG00000178591,DEFB-25,DEFB125,245938
ENSG00000276194,HNF1beta,HNF1B,6928
ENSG00000276194,LFB3,HNF1B,6928
ENSG00000276194,MODY5,HNF1B,6928
ENSG00000276194,TCF2,HNF1B,6928
ENSG00000276194,VHNF1,HNF1B,6928
ENSG00000132967,HMG1L5,HMGB1P5,
ENSG00000132967,HMGB1L15,HMGB1P5,
ENSG00000132967,HMGB1L5,HMGB1P5,
ENSG00000132967,HMGB1P2,HMGB1P5,
ENSG00000239715,,AC093627.2,
ENSG00000234723,,AC092421.1,
ENSG00000271235,,AC114477.1,
ENSG00000100109,DKFZP434B194,TFIP11,24144
ENSG00000100109,Spp382,TFIP11,24144
ENSG00000100109,TIP39,TFIP11,24144
ENSG00000177706,DKFZp547D065,FAM20C,56975
ENSG00000177706,DMP4,FAM20C,56975
ENSG00000177706,G-CK,FAM20C,56975
ENSG00000177706,IMAGE:4942737,FAM20C,56975
ENSG00000110811,GRCB,P3H3,10536
ENSG00000110811,HSU47926,P3H3,10536
ENSG00000110811,LEPREL2,P3H3,10536
ENSG00000226287,DKFZp434N035,TMEM191A,
ENSG00000226287,TMEM191AP,TMEM191A,
ENSG00000092330,TIN2,TINF2,26277
ENSG00000249852,,AC145676.1,
ENSG00000240093,,AC093627.3,
ENSG00000261456,bA631M21.2,TUBB8,347688
ENSG00000274167,,AL031601.2,
ENSG00000125788,bA530N10.1,DEFB126,81623
ENSG00000125788,C20orf8,DEFB126,81623
ENSG00000125788,DEFB-26,DEFB126,81623
ENSG00000088782,bA530N10.2,DEFB127,140850
ENSG00000088782,C20orf73,DEFB127,140850
ENSG00000088782,DEF-27,DEFB127,140850
ENSG00000185982,DEFB-28,DEFB128,245939
ENSG00000232420,,IL9RP2,
ENSG00000125903,bA530N10.3,DEFB129,140881
ENSG00000125903,C20orf87,DEFB129,140881
ENSG00000125903,DEFB-29,DEFB129,140881
ENSG00000157796,DYF-2,WDR19,57728
ENSG00000157796,FLJ23127,WDR19,57728
ENSG00000157796,IFT144,WDR19,57728
ENSG00000157796,KIAA1638,WDR19,57728
ENSG00000157796,NPHP13,WDR19,57728
ENSG00000157796,ORF26,WDR19,57728
ENSG00000157796,Oseg6,WDR19,57728
ENSG00000157796,Pwdmp,WDR19,57728
ENSG00000127418,,FGFRL1,53834
ENSG00000186458,DEFB32,DEFB132,400830
ENSG00000186458,RP5-1103G7.6,DEFB132,400830
ENSG00000272874,,AL034548.1,
ENSG00000226183,,RANP7,
ENSG00000231915,,SALL4P5,
ENSG00000100104,HC/HCC,SRRD,402055
ENSG00000100104,SRR1L,SRRD,402055
ENSG00000215016,,RPL24P7,
ENSG00000275083,CD158K,KIR3DL2,3812
ENSG00000275083,cl-5,KIR3DL2,3812
ENSG00000275083,nkat4,KIR3DL2,3812
ENSG00000275083,nkat4a,KIR3DL2,3812
ENSG00000275083,nkat4b,KIR3DL2,3812
ENSG00000233153,,UBE2E2-AS1,
ENSG00000250510,A-2,GPR162,27239
ENSG00000250510,GRCA,GPR162,27239
ENSG00000256379,TCRAV8S5,TRAV8-5,
ENSG00000256379,TRAV85,TRAV8-5,
ENSG00000211791,,TRAV13-2,
ENSG00000185049,NELF-A,NELFA,7469
ENSG00000185049,WHSC2,NELFA,7469
ENSG00000211792,hADV14S1,TRAV14DV4,
ENSG00000211792,TCRAV6S1-hDV104S1,TRAV14DV4,
ENSG00000211792,TRAV14/DV4,TRAV14DV4,
ENSG00000211793,,TRAV9-2,
ENSG00000282043,,AC003103.1,
ENSG00000282805,,AC023315.3,
ENSG00000276072,BFR2,AATF,26574
ENSG00000276072,CHE-1,AATF,26574
ENSG00000276072,CHE1,AATF,26574
ENSG00000276072,DED,AATF,26574
ENSG00000223561,,AC005165.1,
ENSG00000236638,,AC006455.7,
ENSG00000267414,,AC120049.1,
ENSG00000234878,bA101E14.1,HSPE1P1,
ENSG00000234878,HSPEP1,HSPE1P1,
ENSG00000185037,ZNF733,ZNF733P,
ENSG00000248767,,FOXL3,116033993
ENSG00000287342,,AC188616.1,
ENSG00000249574,,AC226118.1,
ENSG00000287096,,AC005165.3,
ENSG00000187634,MGC45873,SAMD11,148398
ENSG00000148719,DJ10,DNAJB12,54788
ENSG00000148719,FLJ20027,DNAJB12,54788
ENSG00000239622,,AC005165.2,
ENSG00000286710,,AC188617.1,
ENSG00000227923,,AC006455.3,
ENSG00000230000,,AC006455.5,
ENSG00000286764,,AC188617.2,
ENSG00000214695,,NPAP1P2,
ENSG00000257402,,KRT126P,
ENSG00000110700,S13,RPS13,6207
ENSG00000132465,IGCJ,JCHAIN,3512
ENSG00000132465,IGJ,JCHAIN,3512
ENSG00000132465,JCH,JCHAIN,3512
ENSG00000101193,bA305P22.1,GID8,54994
ENSG00000101193,C20orf11,GID8,54994
ENSG00000101193,FLJ20602,GID8,54994
ENSG00000101193,TWA1,GID8,54994
ENSG00000232165,,AC006455.6,
ENSG00000227545,,AC006455.2,
ENSG00000006611,AIE-75,USH1C,10083
ENSG00000006611,DFNB18,USH1C,10083
ENSG00000006611,harmonin,USH1C,10083
ENSG00000006611,NY-CO-37,USH1C,10083
ENSG00000006611,NY-CO-38,USH1C,10083
ENSG00000006611,PDZ-73,USH1C,10083
ENSG00000006611,PDZ73,USH1C,10083
ENSG00000006611,PDZD7C,USH1C,10083
ENSG00000282166,,AC003103.2,
ENSG00000196476,dJ1103G7.2,C20orf96,140680
ENSG00000227298,ARAF3P,ARAFP3,
ENSG00000158856,DMT,DMTN,2039
ENSG00000158856,EPB49,DMTN,2039
ENSG00000044012,,GUCA2B,2981
ENSG00000282636,,AC023315.2,
ENSG00000226587,,AC006455.1,
ENSG00000250259,,AC019103.1,
ENSG00000229301,,AC006455.4,
ENSG00000226913,BSN-AS2,BSN-DT,
ENSG00000233293,,AL133343.2,
ENSG00000228156,,AL133343.1,
ENSG00000101222,C20orf28,SPEF1,25876
ENSG00000101222,CLAMP,SPEF1,25876
ENSG00000101222,DKFZP434I114,SPEF1,25876
ENSG00000101222,SPEF1A,SPEF1,25876
ENSG00000258036,,KRT125P,
ENSG00000204393,,NOL4L-DT,
ENSG00000257616,,AC055716.2,
ENSG00000134318,,ROCK2,9475
ENSG00000284677,,AL031985.4,
ENSG00000277301,,AL034550.2,
ENSG00000257343,,AC055716.1,
ENSG00000286311,,AL034550.3,
ENSG00000271113,,AC079089.3,
ENSG00000234158,,RPEP2,
ENSG00000254557,,AC091047.1,
ENSG00000236772,,AL034550.1,
ENSG00000257675,,BTBD10P1,
ENSG00000125872,C20orf75,LRRN4,164312
ENSG00000125872,dJ1056H1.1,LRRN4,164312
ENSG00000125872,NLRR4,LRRN4,164312
ENSG00000137571,OATP-J,SLCO5A1,81796
ENSG00000137571,OATP5A1,SLCO5A1,81796
ENSG00000137571,OATPRP4,SLCO5A1,81796
ENSG00000137571,SLC21A15,SLCO5A1,81796
ENSG00000228755,,PABPC1P8,
ENSG00000197273,GUCA2,GUCA2A,2980
ENSG00000197273,STARA,GUCA2A,2980
ENSG00000197183,C20orf112,NOL4L,140688
ENSG00000197183,C20orf113,NOL4L,140688
ENSG00000197183,dJ1184F4.2,NOL4L,140688
